Customer ID,Date of Default,Amount Default,Cumulative Payment till date,Gender,State,Bank,Default,Purchase Channel,Age,Insurance,Loan,Savings,FD,DMAT,Fraud,Card Type,City
546301568,24-08-2019,582993,420324,1,0,ICICI,1,3,59,1,663918,216348,0,1,N,0,Delhi
18658241,04-12-2020,760344,708671,1,0,SBI,1,1,59,1,107236,439609,1,0,N,0,Kolkata
545307255,30-10-2018,433971,835055,0,2,SBI,0,1,35,0,745659,415287,1,0,N,1,Delhi
685777392,14-04-2019,945476,759583,0,1,SBI,1,2,38,0,24216,284974,0,0,N,0,Mumbai
838154128,30-11-2020,874825,71394,1,2,SBI,1,3,50,0,794057,18748,1,1,N,1,Mumbai
210656109,30-10-2018,523610,585751,1,1,SBI,1,3,64,0,826884,748740,1,1,N,0,Mumbai
268843352,19-02-2020,194989,129743,1,2,SBI,0,2,57,0,434426,358298,1,0,N,1,Delhi
637430346,10-09-2019,479747,715425,0,1,SBI,1,2,63,0,232247,106692,0,1,N,0,Delhi
763910811,12-01-2019,556140,687076,0,2,ICICI,0,3,30,0,441778,701705,0,0,N,1,Chennai
249966936,08-01-2020,558323,776552,1,2,HDFC,0,2,36,1,975305,938048,0,1,N,1,Chennai
831907851,10-08-2020,832265,472438,0,1,ICICI,0,2,50,0,310862,127998,0,1,N,0,Chennai
677681143,02-01-2019,167387,168138,0,0,ICICI,0,3,58,0,643298,302361,0,0,N,0,Kolkata
306047486,05-04-2020,584813,648181,1,1,HDFC,0,1,41,0,578209,445131,0,1,N,0,Mumbai
878150994,05-07-2020,725173,195668,0,1,ICICI,1,3,58,1,338091,624506,0,0,N,0,Kolkata
491667935,28-06-2018,224864,311798,0,2,SBI,0,1,51,1,56557,103255,0,1,N,1,Chennai
753530226,10-08-2020,557359,630782,0,0,SBI,1,1,42,1,669697,755344,1,0,N,0,Mumbai
187949181,26-02-2020,146567,466922,0,2,SBI,0,1,40,0,724551,410479,0,1,N,1,Kolkata
792265777,25-06-2019,737494,595656,1,0,SBI,1,1,51,1,350299,613758,0,1,N,1,Chennai
826150207,08-01-2020,409582,186164,0,1,HDFC,0,2,43,1,980164,221723,1,0,N,1,Kolkata
867181302,28-07-2020,770300,554517,1,1,SBI,0,3,64,1,47867,338507,1,1,N,1,Chennai
719688022,29-04-2018,652627,920750,0,2,ICICI,0,3,41,0,94351,588090,1,1,N,0,Chennai
181923588,12-05-2018,202684,760136,1,1,SBI,1,2,43,1,55366,469670,1,0,N,1,Kolkata
68952945,26-08-2020,653593,673547,1,1,ICICI,0,1,43,0,997288,348785,1,0,N,1,Chennai
436460838,04-10-2019,951616,797330,1,0,ICICI,1,2,43,0,531269,833169,1,0,N,0,Kolkata
692168594,16-06-2020,588858,105111,1,2,HDFC,0,3,46,1,69739,733098,0,0,N,1,Mumbai
612334605,16-04-2020,547122,89396,0,2,SBI,0,2,57,0,479880,377712,1,1,N,0,Kolkata
275358784,02-10-2020,752950,196441,0,0,SBI,1,1,36,0,494128,310623,1,0,N,0,Chennai
649822845,13-09-2019,357225,75363,1,2,SBI,1,2,37,1,629138,391568,0,1,N,1,Mumbai
404951763,09-08-2019,220814,591156,1,1,ICICI,1,1,46,1,278594,227937,1,0,N,1,Mumbai
466181358,11-09-2020,798625,465816,0,1,SBI,1,2,59,1,152925,485880,0,0,N,0,Chennai
575491716,29-02-2019,653672,336604,1,1,ICICI,0,2,35,0,470148,674453,1,0,N,0,Mumbai
94089235,13-02-2020,175590,289354,1,1,ICICI,0,1,47,0,61240,351242,0,1,N,1,Mumbai
165650778,24-10-2018,177161,316389,1,0,ICICI,0,2,47,1,265235,980619,0,1,N,1,Chennai
883014872,04-03-2019,264390,189086,0,2,ICICI,1,2,37,0,919341,862521,1,0,N,1,Kolkata
418458467,02-11-2018,599913,496929,1,0,HDFC,1,3,59,0,375382,523533,1,0,N,0,Delhi
621374127,07-07-2019,678274,392597,1,0,SBI,1,2,52,1,116298,793703,0,1,N,0,Kolkata
395109463,14-12-2020,362859,918694,1,0,ICICI,0,1,61,0,779862,458903,1,0,N,1,Mumbai
669173069,29-12-2019,495174,324296,1,1,SBI,0,1,42,1,521542,639522,1,0,N,1,Kolkata
803315481,19-02-2020,768976,849929,0,2,ICICI,0,2,52,1,150301,422129,1,0,N,0,Chennai
40136236,11-08-2018,208443,730454,1,2,ICICI,0,1,28,1,858224,375585,1,0,N,0,Kolkata
332018834,16-02-2018,556644,682291,0,1,HDFC,0,2,38,0,896993,869933,1,1,N,1,Delhi
814448759,07-05-2020,963634,18764,1,2,HDFC,0,2,38,1,5140,881156,1,1,N,1,Chennai
603667042,07-12-2018,116850,624802,1,0,HDFC,0,1,62,1,161732,239573,0,0,N,1,Kolkata
195822218,22-03-2020,307286,692112,1,2,ICICI,1,3,46,0,222839,307729,0,0,N,0,Chennai
713701444,08-02-2019,599918,955879,1,2,ICICI,0,3,47,1,584032,508625,1,1,N,1,Chennai
613487958,02-11-2019,627134,927430,1,0,ICICI,0,2,54,0,222162,573709,1,0,N,1,Delhi
310916446,19-02-2019,408560,355167,1,1,SBI,1,3,43,1,59789,427247,0,1,N,1,Delhi
750664757,26-11-2019,853162,782605,0,0,ICICI,1,1,53,1,807955,763000,0,0,N,1,Delhi
20546378,10-05-2018,73490,697911,1,0,HDFC,1,2,39,1,186905,998672,1,0,N,1,Kolkata
812035594,30-09-2020,943590,509813,0,0,SBI,0,2,41,0,483800,940246,1,0,N,0,Delhi
703709737,31-07-2020,476379,105672,1,1,ICICI,0,2,65,1,853843,770105,1,1,N,1,Mumbai
496512937,06-04-2018,768811,221195,1,2,HDFC,1,1,64,1,58230,826914,1,1,N,0,Chennai
269878675,24-07-2020,988661,265726,0,2,ICICI,0,2,31,0,631366,791972,1,0,N,1,Delhi
409687683,28-04-2019,395614,893469,0,2,SBI,0,1,50,1,799132,684529,1,0,N,1,Kolkata
97217075,23-04-2020,544603,535002,1,0,ICICI,0,3,32,1,692908,743154,1,1,N,1,Kolkata
80233747,23-09-2020,28251,925413,1,2,SBI,1,2,50,1,589337,602881,1,1,N,1,Kolkata
823813023,26-08-2019,557763,120530,1,0,SBI,0,2,40,1,59515,677545,0,1,N,1,Delhi
21697129,17-10-2019,756278,541360,0,0,ICICI,0,2,45,1,850233,3586,1,1,N,0,Mumbai
125305977,12-11-2018,790183,579489,0,0,ICICI,0,2,28,1,72498,175712,0,0,N,1,Delhi
260004429,09-04-2019,958256,318760,0,2,HDFC,1,2,50,1,593746,436066,0,0,N,0,Kolkata
809244133,10-09-2019,744709,886354,1,2,SBI,0,1,29,1,51409,483168,1,1,N,0,Mumbai
694660864,24-07-2019,964029,552515,1,0,HDFC,0,1,47,0,977159,339778,1,1,N,1,Kolkata
322272573,28-05-2020,538838,272471,1,1,ICICI,1,1,57,0,987319,207571,0,1,N,1,Mumbai
487268700,08-06-2019,814753,637798,1,2,SBI,0,3,34,1,636532,183967,1,1,N,0,Kolkata
417679511,12-09-2019,665174,380228,0,2,ICICI,0,2,58,1,788583,90514,1,0,N,1,Chennai
474126889,14-11-2020,490571,553789,1,1,SBI,0,1,44,1,264038,443062,0,0,N,0,Kolkata
308972015,29-06-2018,946539,131130,1,2,ICICI,1,3,37,1,407715,822534,0,0,N,0,Chennai
488752058,02-01-2019,408896,829354,0,0,HDFC,0,1,38,0,522210,10260,0,1,N,0,Kolkata
384350857,21-01-2020,569773,715483,1,2,SBI,1,3,28,0,37766,474649,1,1,N,1,Kolkata
19317745,18-10-2018,185427,897463,0,2,HDFC,1,3,43,0,371412,626644,1,1,N,0,Kolkata
123230694,29-02-2019,292630,907036,0,1,SBI,1,3,35,0,796621,634116,0,0,N,1,Kolkata
303004347,29-09-2018,68604,31061,0,1,ICICI,0,1,54,0,217414,962196,1,1,N,1,Mumbai
873751109,16-07-2019,95967,329835,1,1,ICICI,0,2,34,1,640176,655125,1,1,N,1,Delhi
161040430,28-09-2019,369704,377262,0,1,SBI,1,1,51,1,65545,995169,0,0,N,0,Mumbai
726627898,02-02-2020,713803,888290,1,1,HDFC,1,2,28,1,158574,647237,0,1,N,1,Kolkata
90268079,22-09-2019,22717,57413,0,0,SBI,1,3,44,0,67526,498151,0,0,N,0,Mumbai
337628641,11-05-2019,934901,931406,0,2,HDFC,0,2,57,0,786882,939443,0,0,N,1,Chennai
752176783,28-06-2020,497032,501825,1,0,SBI,1,1,30,1,349779,603926,0,1,N,1,Delhi
786124774,22-11-2019,731607,413646,0,2,HDFC,0,1,63,0,454809,80433,1,1,N,1,Kolkata
852989746,21-09-2018,839233,208366,1,2,HDFC,0,2,51,1,756885,922142,1,1,N,0,Mumbai
603983153,08-04-2018,434090,972044,0,2,HDFC,1,2,44,0,273789,519410,1,1,N,1,Delhi
245468921,25-04-2020,726583,362989,1,1,ICICI,0,2,51,1,897920,458719,0,0,N,1,Chennai
99781416,20-04-2018,462423,37240,0,0,ICICI,0,1,29,0,635780,770824,0,1,N,0,Delhi
657539190,03-08-2020,489448,240347,1,1,ICICI,1,2,29,1,137224,98366,0,0,N,0,Kolkata
811638346,06-02-2020,779884,160152,1,0,SBI,1,2,52,1,427745,775038,0,1,N,1,Chennai
